Hepet	200	Windows	host	11601
Hetemit	200	Linux	host	527
Hub	100	Linux	host	50416
Hunit	200	Linux	host	574
Hutch	200	Windows	host	604
ICMP	200	Linux	host	40272
Illusion	200	Linux	host	38798
Inclusiveness	100	Linux	host	149
Infilo	200	Linux	host	212274
InfosecPrep	100	Linux	host	399
Injecto	300	Linux	host	33405
InsanityHosting	300	Linux	host	559
Interface	100	Linux	host	462
Internal	100	Windows	host	169
InvokeAI_RCE	200	Linux	host	209077
JISCTF	100	Linux	host	49
Jacko	200	Windows	host	264
Jordak	200	Linux	host	185720
Katana	100	Linux	host	344
Keights	200	Linux	host	185871
Kevin	100	Windows	host	189
KeyVault	200	Linux	host	39633
Kyoto	200	Windows	host	52223
LaVita	200	Linux	host	150736
Lampiao	100	Linux	host	94
LazySysAdmin	100	Linux	host	109
Leaked	200	Linux	host	213578
Levram	100	Linux	host	50411
Leyla	200	Linux	host	187309
Living Off the Vault	400		download	246714
Loly	200	Linux	host	532
Lunar	200	Linux	host	40223
MZEEAV	200	Linux	host	150716
Mailserver_phase2	200	Windows	host	54415
Malbec	200	Linux	host	584
Mantis	200	Linux	host	38803
Maria	200	Linux	host	27697
Markers	200	Linux	host	150720
Marketing	200	Linux	host	40967
Marshalled	200	Linux	host	43696
Matrimony	200	Linux	host	38183
Matt	200	Linux	host	207756
MediTrack	200	Linux	host	215966
Medjed	200	Windows	host	589
Megavolt	300	Linux	host	512
MiddlewareBypass	200	Linux	host	208704
Moneybox	100	Linux	host	42547
Monitoring	100	Linux	host	629
Monster	100	Windows	host	37024
Muddy	100	Linux	host	17383
Muon_phase2	200	Windows	host	54411
My-CMSMS	200	Linux	host	324
MyForum	200	Linux	host	207201
Nagoya	300	Windows	host	50426
Nappa	200	Linux	host	507
Needle	200	Linux	host	216334
Nibbles	200	Linux	host	209
Nickel	200	Windows	host	452
NoName	200	Linux	host	144
Nukem	200	Linux	host	457
NullByte	200	Linux	host	84
Ochima	200	Linux	host	150712
OnSystemShellDredd	100	Linux	host	594
Orbiton_phase2	200	Windows	host	54413
Osaka	300	Windows	host	50421
Outdated	100	Linux	host	207206
Panic	200	Windows	host	15780
Passport	200	Linux	host	187346
Pathway	200	Linux	host	208461
PayDay	200	Linux	host	164
Pebbles	100	Linux	host	304
Pelican	200	Linux	host	440
Peppo	300	Linux	host	249
Phobos	300	Linux	host	599
Photographer	100	Linux	host	364
Pier	200	Linux	host	191946
Pipe	200	Linux	host	181018
PlanetExpress	100	Linux	host	39628
Postfish	200	Linux	host	639
Potato	100	Linux	host	445
Powergrid	300	Linux	host	334
Precision	200	Linux	host	212205
ProStore	200	Linux	host	49058
PwnLab	100	Linux	host	29
Pwned1	200	Linux	host	414
PyExp	100	Linux	host	522
Quackerjack	200	Linux	host	274
RPC1	200	Linux	host	43686
Rayeih	200	Linux	host	207259
